,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
1128,2,1,2,1,0,0,0,1,1,1
1129,2,0,2,1,0,0,0,1,1,1
1131,3,1,2,1,0,0,0,1,1,1
1133,1,0,0,1,1,0,1,1,1,1
1134,2,1,1,1,0,0,1,1,1,1
1135,1,0,1,1,1,0,1,1,1,1
1136,2,0,2,1,0,0,0,1,1,1
1137,2,1,2,1,0,0,1,1,1,1
1140,3,1,0,1,0,0,0,1,1,1
1154,2,0,2,1,0,0,0,1,1,1
1155,3,0,1,1,0,0,0,1,1,1
1156,2,1,2,1,0,0,0,1,1,1
1157,2,1,2,1,0,0,0,1,1,1
1158,3,1,2,1,0,0,0,1,1,1
1160,2,0,2,1,0,0,0,1,1,1
1164,2,1,2,1,0,0,0,1,1,1
1167,2,0,2,1,0,0,0,1,1,1
1170,3,0,2,1,0,0,0,1,1,1
1173,2,0,2,1,0,0,0,1,1,1
1174,2,0,0,1,0,0,0,1,1,1
1175,2,0,0,1,1,0,1,0,1,1
1177,2,0,2,1,0,0,0,1,1,1
1179,2,0,1,1,0,0,0,1,1,1
1181,1,0,1,1,0,0,0,1,1,1
1182,2,0,1,1,0,0,0,1,1,1
1183,3,0,0,1,1,0,1,0,1,1
1184,0,0,2,1,0,0,1,1,1,1
1185,1,1,3,0,0,0,1,1,1,1
1191,2,1,0,1,0,0,0,1,1,1
1192,2,1,2,1,0,0,0,1,1,1
1193,2,0,2,1,0,0,0,1,1,1
1194,2,1,2,1,0,0,0,1,1,1
1199,2,1,0,1,0,0,1,1,1,1
1200,2,0,0,1,1,0,1,1,1,1
1201,2,1,0,1,1,0,1,1,1,1
1204,3,1,0,1,0,0,0,1,1,1
1206,3,0,2,1,1,0,1,1,1,1
1207,3,1,2,1,1,0,1,0,1,0
1211,3,0,1,1,1,0,1,0,0,0
1212,2,1,2,1,1,0,1,0,1,0
1224,2,0,0,1,1,0,1,0,1,1
1225,2,1,1,1,1,1,1,1,1,1
1226,2,0,1,1,1,1,1,0,1,0
1227,1,0,3,1,0,0,1,1,1,0
1230,3,0,1,1,1,0,1,1,1,0
1236,3,0,1,1,0,0,1,0,0,0
1237,3,1,1,1,0,0,1,0,0,0
1239,3,0,1,1,0,0,1,0,0,0
1240,0,0,1,1,1,0,1,1,1,1
1241,1,1,1,1,1,0,1,1,1,1
1242,1,0,0,1,1,0,1,1,1,1
1245,1,1,1,1,1,0,1,1,1,1
1254,2,1,0,1,0,0,1,0,1,1
1259,2,0,0,0,0,0,1,1,1,1
1265,1,0,2,1,0,0,1,1,1,1
1280,0,1,1,1,0,0,1,1,1,1
1283,0,1,1,0,1,0,1,1,1,1
1284,2,1,2,1,1,0,1,1,1,1
1289,3,0,0,1,1,0,1,1,1,1
1293,1,0,2,1,0,0,1,1,1,0
1294,1,0,2,0,0,0,1,1,1,0
1316,0,1,1,1,1,0,1,1,1,1
1320,0,1,0,1,1,0,1,1,1,1
1321,1,1,1,1,0,0,1,1,1,1
1323,1,0,1,1,0,0,1,1,1,1
1325,1,1,0,1,1,0,1,1,1,1
1326,2,0,0,1,1,0,1,0,1,1
1341,2,1,0,1,1,0,1,0,1,0
1345,2,0,0,1,1,0,1,1,1,1
1354,0,1,1,0,0,0,1,1,1,1
1355,0,1,1,0,0,0,1,1,1,1
1356,0,0,1,0,0,0,1,1,1,1
1357,0,1,1,0,0,0,1,1,1,1
1381,2,1,2,1,0,0,0,1,1,0
1409,1,0,0,1,1,0,1,1,1,1
1410,2,0,0,1,1,0,1,0,0,0
1417,0,0,0,0,1,0,0,1,1,1
1426,0,1,2,0,0,1,1,1,1,1
1427,1,0,2,1,1,0,1,1,1,1
1430,0,1,0,1,0,0,1,1,1,1
1431,1,1,0,1,1,0,1,1,1,1
1432,1,1,0,1,1,0,1,1,1,1
1442,2,0,1,1,1,0,1,1,1,1
1443,2,1,2,1,1,0,1,1,1,1
1465,3,0,0,1,1,0,1,1,1,1
1477,1,1,2,1,0,0,0,1,1,1
1489,2,1,2,1,1,0,0,0,0,0
1515,1,0,1,1,1,0,1,1,0,1
1521,0,0,0,1,1,0,1,1,1,1
1526,1,1,1,1,1,1,1,1,1,1
1530,1,1,1,1,1,0,1,0,1,0
1531,0,0,2,0,0,0,1,1,1,1
1532,0,0,2,0,0,0,1,1,1,1
1533,0,1,2,0,0,0,1,1,1,1
1542,2,0,0,1,1,1,1,1,1,1
1547,3,0,1,1,1,0,1,1,1,1
1548,2,0,2,1,1,0,0,1,1,0
1550,3,0,2,1,1,0,1,1,1,1
1554,2,1,1,1,1,0,1,1,0,0
1556,1,0,2,1,0,0,1,0,1,1
1557,1,1,1,1,1,0,1,0,1,0
1572,1,0,1,1,1,0,1,1,1,0
1577,2,1,1,1,1,0,1,0,0,0
1578,2,0,2,1,1,0,1,1,1,0
1582,2,1,1,1,1,0,1,0,0,0
1584,2,1,0,0,1,0,0,1,1,1
1593,2,0,1,1,1,0,1,1,0,0
1598,0,1,0,0,0,0,1,1,1,1
1609,0,1,1,1,0,0,1,0,1,0
1612,2,1,1,1,1,1,1,0,0,0
1614,1,1,2,1,1,0,0,1,1,0
1618,2,1,1,1,0,0,1,1,1,1
1626,2,1,0,1,1,0,1,1,1,1
1627,2,1,0,1,1,0,1,1,1,1
1632,2,0,2,1,0,0,1,1,0,0
1635,1,0,0,0,1,0,0,1,1,0
1647,3,1,1,1,1,1,1,1,1,1
1652,1,0,1,1,1,0,1,1,0,0
1656,2,1,2,1,1,1,1,0,1,0
1663,2,0,2,1,1,0,1,0,0,0
1668,2,1,2,1,1,0,1,1,1,0
1669,1,0,1,1,1,0,1,1,1,0
1671,1,1,1,1,1,0,1,1,1,0
1672,1,1,2,1,1,0,1,1,1,0
1675,2,0,1,1,1,0,1,0,1,0
1678,2,1,1,1,1,0,1,0,1,0
1726,0,1,0,1,0,0,1,1,1,1
1747,0,0,1,1,0,0,1,1,1,1
1748,1,1,1,1,0,0,1,1,1,1
1757,3,0,1,1,1,0,1,1,1,0
1769,2,1,0,1,0,0,1,1,1,0
1790,0,0,1,1,0,0,1,1,1,1
1807,2,0,0,1,0,0,1,0,1,0
1812,2,0,0,1,1,0,1,1,1,1
1815,0,0,2,1,0,0,1,1,1,1
1816,0,0,0,1,0,0,1,1,1,1
1821,2,1,0,1,1,0,1,0,1,0
1823,0,1,0,1,0,0,1,1,1,1
1826,2,1,0,1,0,0,1,0,0,0
1829,1,0,0,1,0,0,1,1,1,1
1831,3,1,2,1,1,0,1,1,1,0
1832,0,1,1,1,0,0,1,0,1,1
1833,2,1,1,1,1,0,1,0,0,0
1836,1,1,2,1,1,0,1,1,1,1
1839,2,1,2,1,1,0,1,1,1,1
1840,2,1,2,1,1,0,1,1,1,1
1843,2,1,2,1,1,0,1,1,0,0
1844,2,0,1,1,1,1,1,0,0,0
1861,2,1,1,1,1,0,1,1,1,1
1863,1,1,1,1,1,0,1,1,1,1
1864,0,1,1,0,0,0,1,1,1,1
1865,0,0,1,0,0,0,1,1,1,1
1871,2,0,1,1,0,0,1,1,1,0
1893,2,1,2,0,0,0,0,1,1,1
1894,2,1,2,0,0,0,0,1,1,1
1895,0,0,1,1,1,0,1,1,1,1
1902,0,0,0,0,0,0,0,1,1,1
1909,0,1,0,0,0,0,0,1,1,1
1910,2,0,0,0,0,0,0,1,1,1
1911,0,0,0,0,0,0,0,1,1,1
1912,0,0,0,0,0,0,0,1,1,1
1913,0,0,0,0,0,0,0,1,1,1
1914,0,0,0,0,0,0,0,1,1,1
1915,0,1,0,0,0,0,0,1,1,1
1916,0,0,0,0,0,0,0,1,1,1
1917,0,0,0,0,0,0,0,1,1,1
1918,2,1,0,1,0,0,0,1,1,1
1932,0,1,0,0,0,0,0,1,1,1
1933,0,1,0,0,0,0,0,1,1,1
1934,0,0,0,0,0,0,0,1,1,1
1935,0,1,0,0,0,0,0,1,1,1
1936,2,0,1,0,0,0,0,1,1,1
1937,2,0,1,0,0,0,0,1,1,1
1938,0,1,0,0,0,0,0,1,1,1
1939,0,1,0,0,0,0,0,1,1,1
1940,0,0,2,0,0,0,1,1,1,1
1941,0,1,1,0,0,0,1,1,1,1
1942,0,1,1,0,0,0,1,1,1,1
1943,0,1,1,0,0,0,1,1,1,1
1944,0,1,2,0,0,0,1,1,1,1
1945,0,0,2,0,0,0,1,1,1,1
1946,0,1,2,0,0,0,1,1,1,1
1947,0,0,2,0,0,0,1,1,1,1
1948,0,0,1,1,0,0,0,1,1,1
1949,0,0,2,0,0,0,0,1,1,1
1952,0,1,0,0,0,0,0,1,1,1
1953,0,0,0,0,0,0,0,1,1,1
1954,0,0,0,0,0,0,0,1,1,1
1955,0,0,0,0,0,0,0,1,1,1
1956,0,1,0,0,0,0,0,1,1,1
1957,0,0,0,1,0,0,0,1,1,1
1958,2,1,0,1,0,0,0,1,1,1
1959,0,0,0,1,0,0,0,1,1,1
1960,0,1,0,0,0,0,0,1,1,1
1964,0,1,1,0,0,0,1,1,1,1
1965,0,0,1,0,0,0,1,1,1,1
1966,1,0,1,0,0,0,1,1,1,1
1967,1,1,1,0,0,0,1,1,1,1
1979,0,1,1,1,0,0,1,1,1,1
1980,0,1,1,1,0,0,1,1,1,1
1982,2,0,0,1,0,0,0,1,1,1
1983,2,1,1,0,0,0,0,1,1,1
1984,0,0,0,0,0,0,0,1,1,1
1985,0,1,0,0,0,0,0,1,1,1
1986,1,1,1,0,0,0,0,1,1,1
1987,0,0,0,0,0,0,0,1,1,1
1988,0,0,0,0,0,0,0,1,1,1
1989,0,1,0,0,0,0,0,1,1,1
1990,0,0,0,1,0,0,0,1,1,1
1991,0,0,0,0,0,0,0,1,1,1
1992,2,1,1,1,0,0,0,1,1,1
1993,0,0,0,0,0,0,0,1,1,1
