,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats,cluster
74,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0
75,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
76,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
77,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
78,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
79,3.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
80,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,5
81,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
82,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
83,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
84,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
85,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
86,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4
87,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1
88,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2
89,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
90,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
91,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
92,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
93,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
94,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
95,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2
96,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
97,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
98,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5
99,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
100,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
101,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
102,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
103,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
104,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
105,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5
106,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
107,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
108,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
109,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
110,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3
111,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
112,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
113,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
114,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
115,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
116,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
117,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
118,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3
119,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3
120,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
121,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
122,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
123,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
124,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
125,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
126,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
127,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
128,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
129,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
130,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
131,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
132,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
133,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
134,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
135,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
136,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
137,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
138,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
139,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
140,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
141,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
142,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
143,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
144,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
145,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
146,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
147,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
148,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
149,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
150,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
151,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
152,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
153,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
154,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
155,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
156,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
157,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
158,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
159,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
160,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
161,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
162,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
163,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
164,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
165,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
166,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
167,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
168,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
169,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
170,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
171,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
172,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
173,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
174,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
175,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
176,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
177,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
178,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
179,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
180,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
181,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
182,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
183,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
184,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1
185,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
186,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
187,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
188,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
189,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
190,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
191,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
192,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
193,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2
194,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2
195,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
196,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
197,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3
198,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
199,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
200,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5
201,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5
202,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3
203,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3
204,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
205,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
206,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
207,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2
208,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2
209,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
210,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
211,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
212,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
213,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
214,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1
215,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
216,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3
218,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5
219,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
220,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
221,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
222,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
223,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
224,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
225,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
226,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1
227,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
228,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2
229,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3
230,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
231,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
232,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
233,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
234,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
235,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
236,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
237,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1
238,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
239,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
240,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5
241,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
242,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
243,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
244,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
245,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
246,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2
247,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
248,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
249,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3
250,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
251,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1
252,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2
253,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
254,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
255,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
256,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2
257,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2
258,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
259,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0
260,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
261,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
262,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
263,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
264,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
265,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
266,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0
267,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
268,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
269,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
270,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0
271,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2
272,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
273,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2
274,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
275,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,5
276,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
277,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2
278,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
279,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
280,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3
281,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1
282,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3
283,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0
284,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
285,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
286,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1
287,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0
288,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
289,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
290,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
291,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3
292,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5
293,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0
294,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
295,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
296,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
298,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
299,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
307,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4
308,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
309,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
312,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
313,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4
314,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3
