,breed_primary,breed_mixed,breed_unknown,color_primary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs
556,49,0,0,14,0,0,3,4,1,1,0,1,1,1
557,180,0,0,6,0,1,3,1,1,1,1,0,0,1
560,165,1,0,2,1,0,3,5,1,0,1,1,1,1
562,49,0,0,4,2,1,3,4,1,0,1,1,0,1
563,182,1,0,0,3,1,3,2,1,0,0,1,1,1
564,155,1,0,3,3,0,3,2,1,0,0,1,0,1
565,106,1,0,14,1,1,1,4,1,0,0,1,1,1
566,62,1,0,3,3,1,2,3,1,0,0,1,1,1
567,9,1,0,3,0,1,2,4,1,1,0,1,1,1
569,94,1,0,12,0,1,1,4,1,1,0,1,1,1
570,94,1,0,12,0,1,1,4,1,0,0,1,1,1
575,49,1,0,4,3,0,3,4,1,0,0,1,0,1
580,130,1,0,2,0,0,2,4,1,1,0,1,1,1
585,45,1,0,1,0,0,2,4,1,1,0,1,0,0
586,6,1,0,1,2,1,1,4,0,1,0,1,0,1
587,6,1,0,1,2,1,1,4,1,1,0,1,0,0
588,6,1,0,12,2,1,1,4,1,1,0,1,0,0
590,132,1,0,3,0,0,2,4,1,1,0,1,0,1
591,130,1,0,1,0,0,2,4,1,1,0,1,1,1
592,130,1,0,1,0,0,1,4,1,1,0,1,0,0
593,130,1,0,1,2,0,1,4,1,1,0,1,0,0
596,49,1,0,5,3,1,3,4,1,0,0,1,1,1
597,106,1,0,1,1,0,3,4,1,0,0,1,1,1
598,106,1,0,1,1,0,3,4,1,0,0,1,1,1
599,106,1,0,2,1,0,1,4,1,1,0,1,1,0
604,130,1,0,13,0,0,2,4,1,1,0,1,1,1
605,182,1,0,3,3,1,3,3,1,1,0,1,1,1
607,94,1,0,14,3,1,2,4,1,1,0,1,1,1
608,49,1,0,1,3,1,3,4,1,0,0,1,1,1
609,130,1,0,3,3,0,2,4,1,0,0,1,1,1
613,133,1,0,7,3,0,3,2,1,0,0,1,1,1
619,49,0,0,14,0,1,3,4,1,1,0,1,1,1
620,109,1,0,13,0,1,3,3,1,1,0,1,1,1
622,142,0,0,2,3,0,1,4,1,1,1,1,0,0
624,165,1,0,13,1,0,3,3,1,0,0,1,1,1
625,9,0,0,3,3,0,2,4,1,1,0,1,1,0
626,14,1,0,0,2,1,2,4,1,1,0,1,0,1
628,130,0,0,6,0,0,1,4,0,0,0,0,1,1
629,124,1,0,13,0,1,3,4,1,1,0,1,1,1
630,130,1,0,4,3,0,2,4,1,1,0,1,0,1
634,130,1,0,9,0,1,2,4,1,1,0,1,1,0
640,133,1,0,4,0,0,3,3,1,1,0,1,1,1
641,49,0,0,13,0,1,3,4,1,0,0,1,1,1
658,30,1,0,10,0,1,1,4,1,0,0,1,0,0
669,9,1,0,1,0,1,2,4,1,1,0,1,1,1
700,49,1,0,13,0,0,3,4,1,1,0,1,0,1
715,130,1,0,5,0,1,1,4,1,1,0,1,0,0
724,130,0,0,6,3,1,2,4,1,1,0,1,0,0
749,6,1,0,13,1,0,2,4,0,1,0,0,1,1
750,165,1,0,14,3,0,3,4,0,1,0,0,1,1
751,84,1,0,12,1,0,2,3,1,1,0,1,1,1
755,106,1,0,1,0,0,2,4,1,1,0,1,1,1
756,106,1,0,1,1,1,2,3,0,0,0,1,1,1
757,106,1,0,1,1,1,2,3,0,0,0,1,1,1
758,106,1,0,1,1,1,2,3,0,0,0,1,1,1
759,106,1,0,1,1,1,2,3,0,0,0,1,1,1
760,106,1,0,1,1,0,2,3,0,0,0,1,1,1
761,106,1,0,1,1,0,2,3,0,0,0,1,1,1
785,109,1,0,13,2,0,3,2,1,1,0,1,1,1
787,182,0,0,6,0,1,3,3,1,1,1,1,1,1
797,30,1,0,6,0,0,2,5,1,1,1,1,1,1
824,15,1,0,12,0,1,2,4,1,1,0,1,0,1
844,11,1,0,4,3,0,2,4,1,1,0,1,1,1
847,157,1,0,5,0,1,3,3,1,1,0,1,0,1
