,breed_primary,breed_mixed,breed_unknown,color_primary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs
10084,130,1,0,14,1,1,1,4,1,0,0,1,1,1
10087,49,1,0,0,1,0,3,3,0,0,0,1,1,1
10088,49,1,0,0,1,0,3,3,0,0,0,1,1,1
10089,49,1,0,2,1,1,3,3,0,0,0,1,1,1
10090,49,1,0,0,1,1,3,3,0,0,0,1,1,1
10093,106,1,0,2,3,1,2,4,1,0,0,1,1,1
10094,44,1,0,2,3,0,2,4,1,0,0,1,1,1
10095,30,1,0,10,0,1,2,4,1,1,0,1,1,1
10098,130,0,0,0,0,0,1,4,1,1,1,0,1,1
10099,84,0,0,6,1,0,1,3,1,0,0,1,1,1
10100,89,1,0,2,1,1,1,3,1,0,0,1,1,1
10101,89,1,0,2,1,0,1,3,1,0,0,1,1,1
10123,155,0,0,1,0,1,3,3,1,0,0,1,1,1
10128,160,1,0,10,1,0,2,3,1,0,0,1,1,1
10130,94,1,0,0,1,0,1,4,0,0,0,1,1,1
10135,165,1,0,2,0,0,3,4,1,0,0,1,1,1
10136,165,1,0,0,1,1,3,4,1,0,0,1,1,1
10137,165,1,0,5,1,0,3,4,1,0,0,1,1,1
10138,165,1,0,2,1,1,3,4,1,0,0,1,1,1
10156,34,1,0,4,1,0,2,4,1,0,0,1,1,1
10160,34,1,0,5,1,1,2,4,1,0,0,1,1,1
10161,34,1,0,4,1,0,2,4,1,0,0,1,1,1
10162,130,1,0,6,3,1,2,4,1,0,0,1,1,1
10163,95,0,0,2,0,1,1,3,1,1,0,1,0,1
10164,130,1,0,4,3,0,2,4,1,0,0,1,1,1
10165,130,0,0,13,3,1,1,4,1,1,0,1,0,1
10166,165,1,0,10,0,1,2,4,1,1,0,1,1,1
10168,16,0,0,1,0,0,2,4,1,1,0,1,1,1
10169,57,1,0,5,3,0,2,3,1,0,0,1,1,1
10170,34,1,0,4,0,0,2,4,1,1,0,1,1,1
10171,94,1,0,12,3,1,2,4,1,0,0,1,1,1
10174,137,1,0,0,0,1,3,4,1,1,0,1,1,1
10189,106,1,0,2,3,1,1,4,1,0,0,1,1,1
10196,30,1,0,2,1,0,2,3,0,0,0,1,1,1
10201,84,1,0,11,0,0,1,3,1,0,0,1,1,1
10205,9,0,0,4,0,0,2,4,0,1,0,0,1,1
10206,160,1,0,2,3,1,2,4,1,0,0,1,1,1
10207,130,0,0,10,3,1,1,4,1,1,0,1,1,1
10209,106,1,0,2,2,1,2,3,0,1,0,0,0,1
10219,6,1,0,13,0,1,2,4,1,1,0,1,1,1
10221,106,1,0,14,3,0,2,4,1,0,0,1,1,1
10226,131,1,0,3,1,1,2,4,1,1,0,1,1,1
10228,34,1,0,1,1,0,2,4,0,1,0,1,1,1
10229,49,1,0,14,3,1,3,4,1,1,0,1,1,1
10230,95,1,0,12,1,1,1,4,1,0,0,1,1,1
10243,24,1,0,2,3,0,2,4,0,0,0,1,1,1
10245,95,1,0,2,1,1,1,4,1,0,0,1,1,1
10246,152,1,0,1,2,0,1,4,1,1,0,1,1,1
10247,16,1,0,1,0,1,2,4,1,1,0,1,1,1
10251,84,0,0,12,0,0,1,3,1,1,0,1,1,1
10256,52,1,0,4,1,1,1,3,1,1,0,1,1,1
10257,130,1,0,3,0,0,1,4,1,0,0,1,1,1
10262,152,1,0,3,0,0,1,3,1,0,0,1,1,1
10270,130,1,0,4,3,0,2,4,1,0,0,1,1,1
10274,62,1,0,8,1,1,2,4,1,0,0,1,1,1
10280,106,1,0,2,1,1,2,4,0,0,0,1,1,1
10281,130,0,0,2,1,1,1,4,0,0,0,1,1,1
10283,106,1,0,2,0,0,2,4,1,1,0,1,1,1
10289,106,1,0,2,1,0,2,4,0,0,0,1,1,1
10292,117,1,0,3,1,0,2,4,0,0,0,1,1,1
10299,89,1,0,13,1,0,0,2,0,0,0,1,1,1
10300,106,1,0,6,3,1,2,4,1,1,0,1,1,1
10302,179,1,0,1,1,1,2,4,1,1,0,1,1,0
10303,130,1,0,2,1,0,1,4,1,0,0,1,1,1
10306,130,1,0,2,1,0,1,4,1,0,0,1,1,1
10307,130,1,0,2,1,0,1,4,1,0,0,1,1,1
10308,106,1,0,0,0,1,1,4,1,1,0,1,1,1
10309,130,1,0,2,1,1,1,4,1,0,0,1,1,1
10311,130,1,0,2,1,1,1,4,1,0,0,1,1,1
10312,15,1,0,2,1,0,2,4,0,0,0,1,1,1
10318,62,1,0,4,1,1,2,3,1,0,0,1,1,1
10319,62,1,0,4,1,0,2,3,1,0,0,1,1,1
10320,62,1,0,2,1,0,2,3,1,0,0,1,1,1
10325,49,0,0,0,0,1,3,4,1,0,0,1,1,1
10330,94,1,0,2,1,0,2,4,1,0,0,1,1,1
10331,44,1,0,10,1,1,1,4,1,0,0,1,1,1
10332,84,1,0,11,3,0,1,2,1,1,0,1,1,1
10334,95,1,0,6,0,0,1,2,1,1,0,1,1,1
10336,94,1,0,2,1,1,2,4,0,0,0,1,1,1
10339,138,1,0,2,0,0,3,4,1,1,0,1,1,1
10344,165,1,0,12,0,1,3,4,1,0,0,1,1,1
10345,106,1,0,4,1,1,1,4,1,0,0,1,1,1
10346,106,1,0,2,1,1,1,4,1,0,0,1,1,1
10348,106,1,0,4,1,1,1,4,1,0,0,1,1,1
10349,106,1,0,4,1,0,2,4,1,0,0,1,1,1
10350,106,1,0,2,1,1,2,4,1,0,0,1,1,1
10356,106,1,0,2,3,0,2,4,1,1,1,1,0,0
10365,49,1,0,12,1,1,3,3,0,0,0,1,1,1
10366,49,1,0,12,1,1,3,3,0,0,0,1,1,1
10367,49,1,0,12,1,1,3,3,0,0,0,1,1,1
10368,49,1,0,12,1,1,3,3,0,0,0,1,1,1
10369,49,1,0,12,1,1,3,3,0,0,0,1,1,1
10372,101,0,0,12,1,0,3,4,1,1,0,1,1,1
10375,165,1,0,14,3,0,2,3,1,0,0,1,0,1
10380,152,1,0,2,3,1,2,4,1,1,0,1,1,1
10387,152,1,0,1,1,1,0,3,1,1,0,1,1,1
10388,142,1,0,1,1,1,2,3,1,1,0,1,1,1
10400,106,1,0,2,0,1,2,4,1,0,0,1,1,1
10402,165,1,0,6,3,1,2,4,1,1,0,1,1,1
10404,106,1,0,14,3,1,2,4,0,1,0,1,0,1
10405,49,1,0,13,3,1,3,4,1,0,0,1,0,0
10415,165,1,0,12,1,0,3,4,0,0,0,1,1,1
10420,9,1,0,14,0,1,2,4,1,1,0,1,1,1
10421,29,1,0,12,1,1,1,4,0,1,0,0,1,1
10423,94,1,0,5,1,1,2,4,1,0,0,1,1,1
10428,106,1,0,14,3,1,2,4,1,1,0,1,1,1
10434,16,0,0,1,2,1,2,4,1,1,0,1,1,1
10435,16,0,0,1,2,1,2,4,1,1,0,1,1,1
10437,78,1,0,2,3,1,2,3,1,1,0,1,1,1
10439,165,1,0,4,1,0,3,3,1,0,0,1,1,1
10441,140,1,0,4,1,1,2,4,1,0,0,1,1,1
10444,130,0,0,10,0,0,2,4,1,1,0,1,1,0
10447,84,1,0,2,3,1,2,2,1,0,0,1,1,1
10449,84,1,0,13,0,0,1,2,1,0,0,1,1,1
10450,44,1,0,8,0,0,2,4,1,0,1,1,1,1
10454,49,1,0,0,3,0,3,3,1,0,0,1,1,1
10456,94,1,0,1,1,0,2,4,1,0,0,1,1,1
10457,94,1,0,13,1,0,2,4,1,0,0,1,1,1
10458,94,1,0,13,1,0,2,4,1,0,0,1,1,1
10461,94,1,0,13,1,0,2,4,1,0,0,1,1,1
10463,130,1,0,2,1,1,2,4,1,0,0,1,1,1
10470,94,1,0,4,3,1,2,4,1,0,0,1,1,1
10474,106,1,0,2,3,0,2,3,1,1,0,1,1,1
10475,9,1,0,4,0,1,2,4,1,1,0,1,1,1
10477,62,1,0,4,1,1,2,3,1,0,0,1,1,1
10478,106,1,0,2,3,1,2,4,1,1,0,1,1,1
10498,152,1,0,13,1,0,1,4,1,0,0,1,1,1
10504,16,1,0,12,0,1,2,4,1,1,0,1,1,1
10508,24,1,0,2,1,1,1,4,1,1,0,1,1,1
10517,16,1,0,2,0,1,3,4,1,0,0,1,1,1
10527,156,0,0,2,0,1,2,3,1,1,1,1,1,1
10529,140,1,0,2,0,1,1,3,1,1,0,1,1,1
10531,116,0,0,0,1,0,2,3,1,0,0,1,1,1
10538,162,0,0,2,1,0,2,4,1,0,0,1,1,1
10556,165,1,0,2,0,1,2,4,1,0,0,1,1,1
10561,106,1,0,14,1,0,2,4,1,0,0,1,1,1
10562,106,1,0,2,3,0,2,4,1,0,0,1,1,1
10579,34,1,0,13,0,1,2,4,1,1,1,1,1,1
10594,152,1,0,3,3,0,2,3,1,0,0,1,1,1
10596,30,1,0,2,3,0,2,3,1,0,0,1,1,1
10602,95,0,0,1,3,1,1,3,1,0,0,1,1,1
10607,130,1,0,10,3,0,2,4,1,0,0,1,1,1
10609,106,1,0,0,3,1,2,4,1,0,0,1,1,1
10617,116,1,0,0,3,1,1,4,1,1,0,1,1,1
10618,16,1,0,14,3,1,3,3,1,0,0,1,1,1
10620,106,1,0,14,1,1,2,4,1,1,0,1,1,1
10622,44,1,0,13,1,1,2,4,1,0,0,1,1,1
10623,130,1,0,1,0,0,2,4,0,0,0,0,1,1
10624,152,1,0,2,1,0,2,3,0,0,0,1,1,1
10633,94,0,0,12,3,1,1,4,1,1,0,1,1,1
10635,106,1,0,2,1,1,2,3,1,1,0,1,1,1
10638,152,1,0,2,1,1,2,3,0,0,0,1,1,1
10642,57,1,0,2,1,1,2,3,0,0,0,1,1,1
10649,89,0,0,13,3,1,0,2,1,1,0,1,1,1
10650,24,1,0,2,1,0,1,4,1,0,0,1,1,1
10651,49,1,0,0,3,1,3,4,1,1,0,1,1,1
10652,24,1,0,2,1,0,1,4,1,0,0,1,1,1
10653,24,1,0,2,1,0,1,4,1,0,0,1,1,1
10654,165,1,0,4,3,0,3,4,1,0,0,1,1,1
10656,33,1,0,2,0,0,3,4,1,1,0,1,1,1
10657,49,1,0,1,0,0,3,4,1,1,0,1,1,1
10660,165,1,0,0,3,1,3,5,1,0,0,1,1,1
10661,94,1,0,2,2,1,1,4,1,0,0,1,0,0
10664,18,1,0,2,0,0,1,3,1,0,0,1,1,1
10665,181,1,0,0,3,0,2,4,1,0,0,1,1,1
10687,156,0,0,10,0,1,1,3,1,1,0,1,1,1
10688,165,1,0,13,3,1,2,4,1,1,0,1,1,1
10689,165,1,0,13,3,0,2,4,1,1,0,1,1,1
10690,106,1,0,2,0,0,2,4,1,1,0,1,1,1
10691,6,1,0,13,3,1,2,4,1,1,0,1,1,1
10692,94,1,0,12,3,0,1,4,1,1,0,1,1,1
10694,52,1,0,4,1,0,1,4,1,0,0,1,1,1
10697,58,0,0,10,0,1,1,4,1,1,0,1,1,1
10701,89,0,0,13,3,0,0,2,1,1,0,1,1,1
10702,89,0,0,13,3,0,0,2,1,1,0,1,1,1
10703,89,0,0,13,0,0,0,2,1,1,0,1,1,1
10704,106,1,0,2,1,1,2,4,0,0,0,1,1,1
10705,152,1,0,2,1,1,2,4,0,0,0,1,1,1
10706,106,1,0,2,3,0,2,4,1,0,0,0,1,1
10710,130,1,0,13,3,1,2,4,1,1,0,1,1,1
10714,106,1,0,2,1,0,2,4,1,1,0,1,1,1
10745,16,1,0,1,0,1,2,4,1,1,0,1,1,1
10760,106,1,0,2,1,1,2,4,1,0,0,1,1,1
10761,94,1,0,10,3,0,2,4,1,0,0,1,1,1
10763,49,0,0,0,1,1,3,4,1,0,0,1,1,1
10767,16,1,0,0,2,1,3,4,1,1,0,1,1,1
10768,49,0,0,10,1,1,3,4,1,0,0,1,1,1
10769,16,1,0,5,0,0,2,4,1,1,0,1,1,1
10772,106,1,0,0,0,1,1,4,1,1,0,1,1,1
10786,106,1,0,13,0,0,2,4,1,0,0,1,1,1
10787,52,1,0,4,0,0,2,4,1,0,0,1,1,1
10792,49,1,0,14,3,0,3,4,1,1,0,1,1,1
10794,84,1,0,0,0,1,1,3,1,1,0,1,1,1
10795,165,1,0,0,3,0,2,3,1,0,0,1,1,1
10796,165,1,0,0,3,1,2,3,1,0,0,1,1,1
10798,165,1,0,0,3,0,2,3,1,0,0,1,1,1
10799,11,1,0,2,3,1,2,3,1,0,0,1,1,1
10800,138,1,0,12,0,0,3,4,1,0,0,1,1,1
10805,142,1,0,2,1,1,1,4,1,0,0,1,1,1
10850,138,1,0,6,1,1,3,4,1,1,0,1,1,1
10851,106,1,0,2,1,0,2,4,1,1,0,1,1,1
10852,106,1,0,2,1,0,2,4,1,1,0,1,1,1
10853,106,1,0,2,1,0,2,3,1,1,0,1,1,1
10854,106,1,0,2,1,0,2,3,1,1,0,1,1,1
10855,16,1,0,12,0,0,2,4,1,1,0,1,1,1
10856,106,1,0,2,1,0,2,3,1,1,0,1,1,1
10864,106,1,0,10,3,0,2,2,1,1,0,1,1,1
10865,130,1,0,0,2,0,2,4,1,1,0,1,1,1
10867,106,1,0,2,3,1,1,4,1,1,0,1,1,1
10872,49,1,0,2,0,1,3,4,1,0,0,1,1,1
10873,176,1,0,2,1,1,2,4,0,0,0,1,1,1
10874,106,1,0,2,0,0,2,4,1,0,0,1,1,1
10877,34,1,0,2,3,1,1,4,1,1,0,1,1,1
10882,152,1,0,13,0,0,2,2,1,1,0,1,1,1
10886,106,1,0,2,1,0,2,4,1,0,0,1,1,1
10887,106,1,0,2,1,1,2,4,1,0,0,1,1,1
10893,162,1,0,2,3,0,2,3,1,1,0,1,1,1
10895,9,1,0,14,1,1,1,4,1,1,0,1,1,1
10902,160,1,0,5,1,1,2,3,1,0,0,1,1,1
10903,24,1,0,2,1,1,2,3,1,0,0,1,1,1
10904,94,1,0,2,1,1,2,3,1,0,0,1,1,1
10905,160,1,0,2,3,1,2,3,1,1,0,1,1,1
10918,89,1,0,13,1,1,1,3,0,1,0,1,1,1
10924,25,1,0,2,0,1,2,3,1,1,0,1,1,1
10927,94,1,0,5,1,0,2,4,1,0,0,1,1,1
10928,94,1,0,5,1,0,2,4,1,0,0,1,1,1
10929,117,1,0,1,3,1,2,4,1,0,0,1,1,1
10934,6,1,0,13,0,0,2,4,1,1,0,1,1,0
10935,24,1,0,2,1,1,2,3,0,0,0,1,1,1
11001,88,0,0,2,1,1,0,4,1,1,0,1,1,1
11003,113,1,0,2,1,0,2,4,1,0,0,1,1,1
11004,6,0,0,1,0,1,1,4,0,1,0,1,1,1
11005,113,1,0,2,1,1,2,4,1,0,0,1,1,1
11006,34,1,0,12,1,1,2,4,1,0,0,1,1,1
11007,101,1,0,4,0,0,2,4,1,0,0,1,1,1
11008,76,1,0,2,1,1,2,4,1,0,0,1,1,1
11009,76,1,0,13,1,1,2,4,1,0,0,1,1,1
11010,76,1,0,10,1,1,2,4,1,0,0,1,1,1
11011,76,1,0,2,1,1,2,4,1,0,0,1,1,1
11012,76,1,0,2,1,1,2,4,1,0,0,0,1,1
11013,76,1,0,2,1,0,2,4,1,0,0,1,1,1
11014,16,1,0,0,3,1,2,4,1,1,0,1,1,1
11018,165,1,0,2,3,0,3,4,1,1,0,1,1,1
11019,132,1,0,2,3,1,2,4,1,1,0,1,1,1
11021,34,1,0,3,0,0,1,4,1,0,0,1,1,1
11040,165,1,0,5,0,0,3,3,1,1,0,1,0,0
11046,34,1,0,2,1,1,2,4,1,0,0,1,1,1
11055,130,1,0,2,0,1,2,4,1,1,0,1,1,1
11056,34,1,0,2,0,1,1,4,1,1,0,1,1,1
11057,130,1,0,13,1,0,2,4,0,0,0,1,1,1
11059,130,1,0,4,0,0,2,4,0,0,0,1,1,1
11066,162,1,0,12,0,0,2,4,1,1,0,1,1,0
11082,106,1,0,2,3,0,2,4,1,1,0,1,1,1
11087,130,1,0,0,3,1,2,4,1,1,0,1,1,1
11090,44,1,0,10,1,0,1,4,1,0,0,1,1,1
11091,44,1,0,10,1,0,2,4,1,0,0,1,1,1
11092,44,1,0,13,1,0,2,4,1,0,0,1,1,1
11093,130,1,0,4,0,0,2,4,1,1,0,1,1,1
11098,133,1,0,4,3,1,3,3,1,1,0,1,1,1
11100,130,1,0,13,3,1,2,4,1,1,0,1,1,1
11101,89,1,0,13,1,0,1,3,1,1,0,1,1,1
11104,62,1,0,4,2,0,3,4,1,1,0,1,0,1
11107,24,1,0,2,1,1,2,4,0,0,0,1,1,1
11110,87,1,0,5,0,1,2,3,1,1,0,1,0,1
11114,140,1,0,6,0,1,1,4,1,0,0,1,1,0
11117,152,0,0,12,1,0,2,3,1,0,0,1,1,1
11118,152,1,0,12,1,0,2,3,1,0,0,1,1,1
11119,152,1,0,12,1,0,2,3,1,0,0,1,1,1
11124,13,1,0,14,1,0,2,3,1,0,0,1,1,1
11125,152,1,0,12,1,0,2,3,1,0,0,1,1,1
11126,152,1,0,12,1,0,2,3,1,0,0,1,1,1
11127,152,1,0,2,1,0,2,3,1,0,0,1,1,1
11128,152,1,0,2,1,0,2,3,1,0,0,1,1,1
11129,9,1,0,2,3,0,2,4,1,1,0,1,1,1
11131,106,1,0,2,3,1,1,4,1,1,0,1,1,1
11135,106,1,0,4,1,1,1,4,1,0,0,1,1,1
11136,156,1,0,1,0,0,2,3,1,1,0,1,1,1
11137,9,1,0,2,1,0,2,4,1,0,0,1,1,1
11138,106,1,0,4,3,0,1,4,1,0,0,1,1,1
11143,106,0,0,2,0,0,1,4,1,1,0,1,1,1
11144,25,1,0,14,3,1,2,4,1,1,0,1,1,1
11145,106,1,0,1,0,1,2,4,1,1,0,0,1,1
11150,89,1,0,13,0,0,1,2,1,1,0,1,1,1
11154,152,1,0,12,1,1,1,3,0,0,0,1,1,1
11159,11,1,0,6,3,1,2,3,1,0,0,1,1,1
11160,34,1,0,3,0,1,2,4,1,1,0,1,1,1
11161,49,1,0,1,3,0,3,5,1,1,0,1,0,1
11162,94,1,0,4,1,0,2,4,1,1,0,1,1,1
11175,152,1,0,3,1,1,2,4,1,0,0,1,1,1
11183,94,1,0,4,1,1,2,4,0,0,0,1,1,1
11187,130,1,0,4,3,0,2,4,1,1,0,1,1,1
11194,58,1,0,12,1,1,2,4,1,0,0,1,1,1
11196,116,0,0,3,2,1,1,4,1,1,0,1,0,0
11209,129,1,0,4,1,1,2,4,1,1,0,1,1,1
11211,34,1,0,2,2,0,1,4,1,0,0,1,1,1
11212,80,1,0,2,1,0,2,4,1,0,0,1,1,1
11213,80,1,0,10,1,1,2,4,1,0,0,1,1,1
11214,80,1,0,13,1,1,2,4,1,0,0,1,1,1
11215,80,1,0,10,1,0,2,4,1,0,0,1,1,1
11220,142,1,0,1,1,1,2,4,1,1,0,1,1,1
11223,142,1,0,1,1,1,2,4,1,1,0,1,1,1
11226,116,1,0,3,3,0,2,4,0,1,0,0,1,1
11227,116,1,0,13,3,1,2,4,1,1,0,1,1,1
11229,9,1,0,4,3,1,2,4,1,1,0,1,1,1
11232,116,1,0,14,0,1,2,4,1,1,1,1,1,1
11234,76,1,0,0,1,0,3,4,1,1,0,1,1,1
11240,116,1,0,3,0,0,2,4,1,1,0,1,1,1
11241,53,0,0,13,3,0,2,3,1,1,0,1,1,1
11243,146,1,0,13,0,1,1,2,1,1,0,1,1,1
11244,130,1,0,2,0,0,2,4,1,1,0,1,0,1
11245,9,1,0,6,2,1,1,4,1,1,0,1,1,1
11249,34,1,0,2,3,0,1,4,1,1,0,1,1,1
11258,106,1,0,1,1,1,1,4,1,0,0,1,1,1
11259,106,1,0,1,1,1,1,4,1,0,0,1,1,1
11260,155,0,0,13,0,0,3,3,1,1,1,1,1,1
11263,106,1,0,2,3,0,1,4,1,1,0,1,1,1
11276,116,1,0,4,3,1,3,3,1,1,0,1,1,1
11278,34,1,0,12,1,0,2,4,1,1,0,1,1,1
11291,30,1,0,1,3,1,2,4,1,1,0,1,1,1
11295,11,1,0,10,3,0,2,4,1,1,0,1,1,1
11296,62,0,0,3,1,0,3,5,1,0,0,1,1,1
11302,106,1,0,2,1,1,2,4,1,1,0,1,1,1
11304,182,1,0,1,0,0,3,2,1,1,0,1,1,1
11310,84,0,0,2,0,0,1,3,1,1,0,1,0,0
11313,34,1,0,4,0,1,1,4,1,1,0,1,1,1
11314,11,1,0,8,3,1,2,4,1,0,0,1,0,1
11321,130,0,0,6,0,1,1,4,1,1,0,1,0,0
11322,130,0,0,6,0,0,1,4,1,1,0,1,0,0
11326,130,1,0,2,3,1,2,4,1,1,0,1,1,1
11332,106,1,0,14,3,1,2,4,1,1,0,1,1,1
11336,33,1,0,2,2,0,2,4,1,1,0,1,1,1
11344,84,1,0,10,1,1,2,3,1,0,0,1,1,1
11351,94,1,0,4,3,1,2,4,1,0,0,1,1,1
11353,45,1,0,12,0,1,2,3,1,1,0,1,0,1
11354,62,1,0,2,0,1,3,4,1,0,0,1,1,1
11355,34,1,0,4,0,1,2,4,1,1,0,1,1,1
11356,16,1,0,0,2,1,2,4,1,1,0,0,1,1
11357,106,1,0,0,1,1,2,4,1,1,0,1,1,1
11358,24,1,0,2,0,1,1,4,1,1,0,1,1,1
11360,130,1,0,2,0,0,2,4,1,0,0,1,1,1
11361,44,1,0,8,1,0,1,4,1,0,0,1,1,1
11365,130,1,0,12,1,1,1,4,1,0,0,1,1,1
11366,9,0,0,2,0,0,2,4,1,1,0,1,1,1
11367,130,1,0,2,1,0,1,4,1,0,0,1,1,1
11368,130,1,0,2,1,0,1,4,1,0,0,1,1,1
11369,106,1,0,2,1,0,1,4,1,0,0,1,1,1
11370,106,1,0,2,1,0,1,4,1,0,0,1,1,1
11371,106,1,0,2,1,1,1,4,1,0,0,1,1,1
11374,155,1,0,3,1,0,3,3,0,0,0,1,1,1
11375,130,1,0,9,3,1,2,4,1,0,0,1,1,1
11376,165,1,0,13,3,0,2,4,1,1,0,1,1,1
11380,58,1,0,4,3,1,1,4,1,0,0,1,0,0
11382,152,1,0,1,1,0,2,3,1,0,0,1,1,1
11386,39,1,0,2,0,1,3,5,1,1,0,1,0,1
11389,44,1,0,2,1,1,2,4,1,0,0,1,1,1
11395,165,1,0,2,1,0,3,5,1,0,0,1,1,1
11407,84,0,0,1,2,0,1,3,1,1,0,1,1,1
11408,30,1,0,12,3,1,2,3,1,0,0,1,1,1
11413,106,1,0,13,3,0,2,4,1,1,0,1,1,1
11415,106,1,0,2,3,0,2,4,1,0,0,1,1,1
11416,9,0,0,11,3,1,1,4,1,1,0,1,1,1
11417,8,0,0,12,1,1,2,4,1,0,0,1,1,1
11419,94,1,0,12,1,1,2,4,1,0,0,1,1,1
11421,116,0,0,13,1,1,2,4,1,0,0,1,1,1
11423,130,1,0,6,3,0,2,4,1,1,0,1,1,1
11424,152,1,0,13,1,1,2,4,1,1,0,1,1,1
11441,37,1,0,3,3,0,2,4,1,1,0,1,1,1
11442,11,1,0,8,3,1,3,4,1,1,0,1,1,0
11443,151,1,0,0,3,0,2,4,1,1,0,1,1,1
11444,133,1,0,13,0,0,3,3,1,0,0,0,1,1
11445,165,1,0,13,1,1,2,3,1,0,0,1,1,1
11447,165,1,0,13,1,0,2,3,1,0,0,1,1,1
11448,84,1,0,2,1,0,2,3,1,0,0,1,1,1
11449,44,1,0,3,1,0,2,4,1,0,0,1,1,1
11453,109,1,0,0,0,0,3,3,0,1,0,0,1,0
11456,10,1,0,2,1,0,1,2,1,0,0,1,1,1
11475,76,1,0,5,1,0,2,4,1,0,0,1,1,1
11476,130,1,0,2,3,1,1,4,1,1,0,0,1,1
11477,106,1,0,1,1,1,2,4,1,1,0,1,1,1
11479,106,1,0,0,1,1,2,4,0,0,0,1,1,1
11484,106,1,0,2,3,0,2,3,1,1,0,1,1,1
11488,44,1,0,3,1,0,2,4,1,0,0,1,1,1
11498,89,0,0,13,0,1,0,2,1,0,0,1,1,1
11518,44,1,0,14,1,1,2,4,1,0,0,1,1,1
11522,130,1,0,13,3,0,2,4,1,0,0,1,1,1
11523,34,1,0,3,0,1,2,4,1,0,0,1,1,1
11524,133,1,0,2,2,1,3,2,1,1,0,1,1,1
11525,138,1,0,6,2,0,3,4,1,1,0,1,1,1
11526,101,1,0,2,1,1,2,4,1,0,0,1,1,1
11527,152,1,0,13,3,0,2,4,1,0,0,1,1,1
11528,152,1,0,2,1,0,2,3,1,0,0,1,1,1
11532,165,1,0,4,3,0,2,4,1,0,1,1,1,1
11533,6,1,0,4,3,1,2,4,0,1,0,0,1,1
11534,152,1,0,2,3,1,1,3,1,1,0,1,1,1
11543,76,1,0,2,1,1,2,4,1,0,0,1,1,1
11546,44,1,0,2,1,1,2,4,1,0,0,1,1,1
11551,11,1,0,2,3,1,2,3,1,0,0,1,1,1
11562,155,1,0,13,0,1,3,3,1,1,0,1,1,1
11569,127,0,0,10,2,0,2,3,1,1,1,1,0,1
11570,49,0,0,10,2,0,3,2,1,1,0,1,0,1
11571,113,1,0,9,0,1,3,4,1,1,0,1,1,1
11572,49,0,0,2,2,1,3,2,1,1,1,1,0,1
11573,106,1,0,2,2,1,1,4,1,1,0,1,1,1
11575,101,0,0,13,2,0,3,3,1,0,0,1,1,1
11576,101,0,0,13,0,0,3,3,1,0,0,1,1,1
11580,130,1,0,4,0,0,1,4,1,1,0,1,1,1
11583,130,1,0,3,1,1,2,4,1,0,0,1,0,1
11584,24,1,0,2,1,1,2,4,1,1,0,1,1,1
11585,152,1,0,2,0,0,2,3,1,1,0,1,1,1
11586,34,1,0,13,1,0,2,4,1,0,0,1,1,1
11591,130,1,0,13,0,0,2,4,1,0,0,1,1,1
11613,116,1,0,10,0,0,2,4,1,1,0,1,1,1
11619,62,1,0,14,3,1,3,4,1,0,0,1,1,1
11620,84,1,0,1,3,0,2,4,1,1,0,1,1,1
11630,101,1,0,4,3,1,3,5,1,1,0,1,1,1
11633,140,1,0,13,1,0,2,4,0,0,0,1,1,1
11638,116,1,0,3,0,0,2,3,1,1,0,1,1,1
11639,130,1,0,2,3,0,2,4,1,0,0,1,1,1
11649,117,1,0,3,1,1,2,4,1,0,0,1,1,1
11650,106,0,0,10,0,1,1,4,1,0,0,1,1,1
11652,130,1,0,2,3,0,2,4,1,0,0,1,1,1
11683,49,1,0,13,0,0,3,4,1,1,0,1,1,1
11684,89,1,0,13,1,0,1,3,0,1,0,1,1,1
11685,34,1,0,2,0,1,2,4,1,1,0,1,1,1
11686,130,1,0,14,0,1,2,4,1,1,0,1,1,1
11690,16,0,0,12,0,0,3,4,1,0,0,1,1,1
11692,44,1,0,8,1,0,2,4,0,1,0,1,1,1
11693,44,1,0,3,1,0,2,4,0,0,0,1,1,1
11694,62,1,0,2,3,1,3,4,1,1,0,1,1,1
11704,49,1,0,1,0,0,3,3,1,0,0,1,1,1
11705,63,1,0,2,0,0,1,4,1,1,0,1,1,1
11706,160,1,0,2,3,1,3,3,1,0,0,1,1,1
11707,94,1,0,0,3,1,2,4,1,0,0,1,1,1
11708,106,1,0,10,2,0,2,3,1,1,1,0,1,1
11716,13,1,0,12,1,1,2,3,1,0,0,1,1,1
11717,43,1,0,2,1,0,2,4,1,1,0,1,1,1
11718,58,1,0,12,0,1,2,4,1,0,0,1,1,1
11722,106,1,0,10,3,1,1,4,1,0,0,1,0,0
11735,106,1,0,14,3,1,1,3,1,1,0,1,1,1
11747,84,0,0,2,0,0,1,3,1,1,0,1,1,0
11752,44,1,0,3,1,0,2,4,1,0,0,1,1,1
11753,110,1,0,2,1,0,3,4,1,0,0,1,1,1
11754,16,1,0,12,2,0,2,4,1,1,0,0,1,1
11755,16,0,0,12,1,1,2,3,1,0,0,1,1,1
11756,106,1,0,4,3,0,1,3,1,0,0,1,1,1
11758,44,1,0,3,1,0,2,4,1,0,0,1,1,1
11759,165,1,0,4,3,0,3,3,1,1,0,1,1,1
11763,76,1,0,10,1,1,3,4,1,1,0,1,1,1
11768,53,0,0,2,3,0,2,3,1,1,0,1,1,1
