,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
76,97,120,1,0,-1,-1,3,0,1,-1,1,0,0,0,-1,-1,-1
77,157,-1,1,0,-1,-1,3,0,1,-1,0,0,0,0,-1,-1,-1
78,178,-1,1,0,14,-1,0,0,1,4,1,0,0,1,-1,-1,-1
79,157,-1,1,0,-1,-1,1,0,1,4,1,0,0,1,1,1,-1
80,178,-1,1,0,14,-1,0,0,2,4,0,0,0,0,-1,0,-1
81,180,135,1,0,3,-1,3,1,1,4,1,0,0,1,-1,-1,-1
82,180,-1,1,0,2,3,3,0,2,4,0,0,0,0,-1,-1,-1
83,110,-1,1,0,-1,-1,0,1,2,4,1,0,0,1,-1,-1,-1
84,117,-1,1,0,4,13,1,1,2,4,1,0,0,1,1,1,-1
85,167,-1,1,0,14,-1,0,1,2,3,1,0,0,1,1,1,-1
86,110,-1,1,0,1,-1,0,0,2,4,1,0,0,1,1,1,-1
87,157,-1,1,0,-1,-1,3,1,1,-1,0,0,0,0,-1,-1,-1
88,157,-1,1,0,-1,-1,3,0,2,-1,0,0,0,0,-1,-1,-1
89,57,-1,1,0,13,-1,3,0,3,4,0,1,0,1,1,1,1
90,57,120,1,0,-1,-1,3,1,3,-1,1,0,0,0,-1,-1,-1
91,184,106,1,0,-1,-1,3,1,2,-1,1,0,0,0,-1,-1,-1
92,157,-1,1,0,-1,-1,0,0,1,-1,1,1,0,0,1,1,-1
93,157,120,1,0,-1,-1,3,0,1,-1,0,0,0,0,-1,-1,-1
94,6,53,1,0,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,-1
95,195,-1,1,0,-1,-1,3,0,3,-1,1,0,0,0,-1,-1,-1
96,157,-1,1,0,-1,-1,3,0,1,-1,0,0,0,0,-1,-1,-1
97,157,-1,1,0,-1,-1,0,0,1,-1,1,0,0,0,-1,-1,-1
98,57,-1,0,0,3,13,1,1,3,4,1,1,0,1,-1,1,-1
99,157,-1,0,0,-1,-1,0,0,2,-1,1,0,0,1,-1,-1,-1
100,129,-1,1,0,13,-1,0,0,3,-1,1,1,0,1,-1,1,-1
101,97,87,1,0,2,10,0,1,1,3,1,1,0,1,1,1,-1
102,184,-1,0,0,7,-1,3,1,1,-1,1,1,0,1,1,1,-1
103,129,139,1,0,-1,-1,1,0,3,2,0,0,0,1,1,1,1
104,129,139,1,0,-1,-1,1,1,3,2,0,0,0,1,1,1,1
105,129,139,1,0,-1,-1,1,0,3,2,0,0,0,1,1,1,1
106,57,120,1,0,-1,-1,0,0,3,-1,1,0,0,0,-1,-1,-1
107,195,120,1,0,-1,-1,3,1,3,-1,1,0,0,0,-1,-1,-1
108,157,-1,1,0,-1,-1,0,0,2,-1,1,0,0,0,-1,-1,-1
109,57,120,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
110,27,13,1,0,2,13,1,0,1,3,1,0,0,1,-1,1,-1
111,4,162,1,0,-1,-1,3,0,2,-1,1,0,0,0,-1,-1,-1
112,157,120,1,0,-1,-1,0,0,2,-1,1,0,0,0,-1,-1,-1
113,157,-1,1,0,-1,-1,3,1,1,-1,0,0,0,0,-1,-1,-1
114,157,120,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
115,57,-1,1,0,10,-1,3,0,3,4,1,0,0,0,-1,1,-1
116,195,50,1,0,10,13,3,0,3,4,1,0,0,1,-1,1,-1
117,175,172,1,0,2,-1,1,0,3,4,1,0,0,1,1,1,-1
118,157,-1,1,0,3,5,3,0,2,4,1,0,0,1,-1,1,-1
119,57,-1,1,0,-1,-1,0,0,3,-1,1,0,0,0,-1,-1,-1
120,62,120,1,0,-1,-1,0,0,2,-1,0,0,0,0,-1,-1,-1
121,57,-1,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
122,57,120,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
123,4,83,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
124,175,-1,1,0,-1,-1,0,1,2,-1,1,0,0,0,-1,-1,-1
125,157,120,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
126,157,120,1,0,-1,-1,0,1,1,-1,1,0,0,0,-1,-1,-1
127,166,158,1,0,-1,-1,0,1,1,-1,1,1,0,0,-1,-1,-1
128,57,-1,0,0,13,-1,0,0,3,4,1,1,0,1,-1,1,-1
129,57,-1,0,0,4,-1,0,1,3,4,1,1,0,1,-1,1,-1
130,57,-1,1,0,-1,-1,0,0,3,-1,1,0,0,0,-1,-1,-1
131,57,-1,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
132,157,-1,1,0,-1,-1,0,1,1,-1,0,0,0,0,-1,-1,-1
133,57,-1,1,0,-1,-1,0,0,3,-1,1,0,0,0,-1,-1,-1
134,57,-1,1,0,-1,-1,0,0,3,-1,1,0,0,0,-1,-1,-1
135,57,-1,1,0,-1,-1,3,0,3,-1,1,0,0,0,-1,-1,-1
136,157,-1,1,0,-1,-1,0,1,1,-1,0,0,0,0,-1,-1,-1
137,57,-1,1,0,-1,-1,0,0,3,-1,1,1,0,1,1,1,-1
138,101,-1,0,0,-1,-1,0,0,1,0,1,1,0,1,-1,1,0
139,195,-1,1,0,-1,-1,3,1,3,5,1,1,0,1,1,1,1
140,124,-1,0,0,-1,-1,3,0,2,4,1,1,0,1,-1,1,1
141,195,112,1,0,-1,-1,3,0,3,3,1,1,0,1,1,1,-1
142,132,120,1,0,-1,-1,3,1,1,-1,0,0,0,0,-1,-1,-1
143,157,120,1,0,-1,-1,3,1,1,-1,1,0,0,0,-1,-1,-1
144,124,-1,1,0,2,-1,0,1,1,4,0,0,0,0,-1,-1,-1
145,166,158,1,0,-1,-1,3,1,1,-1,0,0,0,0,-1,-1,-1
146,135,-1,0,0,1,-1,3,1,3,4,1,1,0,1,1,1,-1
147,40,-1,1,0,14,-1,3,1,1,4,0,0,0,0,-1,-1,-1
148,26,-1,1,0,-1,-1,2,0,3,4,1,1,0,1,-1,1,-1
149,157,-1,0,0,6,13,0,1,1,4,1,1,0,1,-1,1,-1
150,71,-1,1,0,-1,-1,3,1,3,-1,1,0,0,1,-1,1,-1
151,57,-1,0,0,-1,-1,3,1,3,-1,1,0,0,1,-1,1,-1
152,135,-1,1,0,-1,-1,0,1,3,-1,1,0,0,0,-1,-1,-1
