,age,sex,size,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
1128,0,1,1,1,0,0,0,1,1,1
1129,0,0,1,1,0,0,0,1,1,1
1131,2,1,1,1,0,0,0,1,1,1
1133,3,0,3,1,1,0,1,1,1,1
1134,0,1,2,1,0,0,1,1,1,1
1135,3,0,2,1,1,0,1,1,1,1
1136,0,0,1,1,0,0,0,1,1,1
1137,0,1,1,1,0,0,1,1,1,1
1140,2,1,3,1,0,0,0,1,1,1
1154,0,0,1,1,0,0,0,1,1,1
1155,2,0,2,1,0,0,0,1,1,1
1156,0,1,1,1,0,0,0,1,1,1
1157,0,1,1,1,0,0,0,1,1,1
1158,2,1,1,1,0,0,0,1,1,1
1160,0,0,1,1,0,0,0,1,1,1
1164,0,1,1,1,0,0,0,1,1,1
1167,0,0,1,1,0,0,0,1,1,1
1170,2,0,1,1,0,0,0,1,1,1
1173,0,0,1,1,0,0,0,1,1,1
1174,0,0,3,1,0,0,0,1,1,1
1175,0,0,3,1,1,0,1,0,1,1
1177,0,0,1,1,0,0,0,1,1,1
1179,0,0,2,1,0,0,0,1,1,1
1181,3,0,2,1,0,0,0,1,1,1
1182,0,0,2,1,0,0,0,1,1,1
1183,2,0,3,1,1,0,1,0,1,1
1184,1,0,1,1,0,0,1,1,1,1
1185,3,1,0,0,0,0,1,1,1,1
1191,0,1,3,1,0,0,0,1,1,1
1192,0,1,1,1,0,0,0,1,1,1
1193,0,0,1,1,0,0,0,1,1,1
1194,0,1,1,1,0,0,0,1,1,1
1199,0,1,3,1,0,0,1,1,1,1
1200,0,0,3,1,1,0,1,1,1,1
1201,0,1,3,1,1,0,1,1,1,1
1204,2,1,3,1,0,0,0,1,1,1
1206,2,0,1,1,1,0,1,1,1,1
1207,2,1,1,1,1,0,1,0,1,0
1211,2,0,2,1,1,0,1,0,0,0
1212,0,1,1,1,1,0,1,0,1,0
1224,0,0,3,1,1,0,1,0,1,1
1225,0,1,2,1,1,1,1,1,1,1
1226,0,0,2,1,1,1,1,0,1,0
1227,3,0,0,1,0,0,1,1,1,0
1230,2,0,2,1,1,0,1,1,1,0
1236,2,0,2,1,0,0,1,0,0,0
1237,2,1,2,1,0,0,1,0,0,0
1239,2,0,2,1,0,0,1,0,0,0
1240,1,0,2,1,1,0,1,1,1,1
1241,3,1,2,1,1,0,1,1,1,1
1242,3,0,3,1,1,0,1,1,1,1
1245,3,1,2,1,1,0,1,1,1,1
1254,0,1,3,1,0,0,1,0,1,1
1259,0,0,3,0,0,0,1,1,1,1
1265,3,0,1,1,0,0,1,1,1,1
1280,1,1,2,1,0,0,1,1,1,1
1283,1,1,2,0,1,0,1,1,1,1
1284,0,1,1,1,1,0,1,1,1,1
1289,2,0,3,1,1,0,1,1,1,1
1293,3,0,1,1,0,0,1,1,1,0
1294,3,0,1,0,0,0,1,1,1,0
1316,1,1,2,1,1,0,1,1,1,1
1320,1,1,3,1,1,0,1,1,1,1
1321,3,1,2,1,0,0,1,1,1,1
1323,3,0,2,1,0,0,1,1,1,1
1325,3,1,3,1,1,0,1,1,1,1
1326,0,0,3,1,1,0,1,0,1,1
1341,0,1,3,1,1,0,1,0,1,0
1345,0,0,3,1,1,0,1,1,1,1
1354,1,1,2,0,0,0,1,1,1,1
1355,1,1,2,0,0,0,1,1,1,1
1356,1,0,2,0,0,0,1,1,1,1
1357,1,1,2,0,0,0,1,1,1,1
1381,0,1,1,1,0,0,0,1,1,0
1409,3,0,3,1,1,0,1,1,1,1
1410,0,0,3,1,1,0,1,0,0,0
1417,1,0,3,0,1,0,0,1,1,1
1426,1,1,1,0,0,1,1,1,1,1
1427,3,0,1,1,1,0,1,1,1,1
1430,1,1,3,1,0,0,1,1,1,1
1431,3,1,3,1,1,0,1,1,1,1
1432,3,1,3,1,1,0,1,1,1,1
1442,0,0,2,1,1,0,1,1,1,1
1443,0,1,1,1,1,0,1,1,1,1
1465,2,0,3,1,1,0,1,1,1,1
1477,3,1,1,1,0,0,0,1,1,1
1489,0,1,1,1,1,0,0,0,0,0
1515,3,0,2,1,1,0,1,1,0,1
1521,1,0,3,1,1,0,1,1,1,1
1526,3,1,2,1,1,1,1,1,1,1
1530,3,1,2,1,1,0,1,0,1,0
1531,1,0,1,0,0,0,1,1,1,1
1532,1,0,1,0,0,0,1,1,1,1
1533,1,1,1,0,0,0,1,1,1,1
1542,0,0,3,1,1,1,1,1,1,1
1547,2,0,2,1,1,0,1,1,1,1
1548,0,0,1,1,1,0,0,1,1,0
1550,2,0,1,1,1,0,1,1,1,1
1554,0,1,2,1,1,0,1,1,0,0
1556,3,0,1,1,0,0,1,0,1,1
1557,3,1,2,1,1,0,1,0,1,0
1572,3,0,2,1,1,0,1,1,1,0
1577,0,1,2,1,1,0,1,0,0,0
1578,0,0,1,1,1,0,1,1,1,0
1582,0,1,2,1,1,0,1,0,0,0
1584,0,1,3,0,1,0,0,1,1,1
1593,0,0,2,1,1,0,1,1,0,0
1598,1,1,3,0,0,0,1,1,1,1
1609,1,1,2,1,0,0,1,0,1,0
1612,0,1,2,1,1,1,1,0,0,0
1614,3,1,1,1,1,0,0,1,1,0
1618,0,1,2,1,0,0,1,1,1,1
1626,0,1,3,1,1,0,1,1,1,1
1627,0,1,3,1,1,0,1,1,1,1
1632,0,0,1,1,0,0,1,1,0,0
1635,3,0,3,0,1,0,0,1,1,0
1647,2,1,2,1,1,1,1,1,1,1
1652,3,0,2,1,1,0,1,1,0,0
1656,0,1,1,1,1,1,1,0,1,0
1663,0,0,1,1,1,0,1,0,0,0
1668,0,1,1,1,1,0,1,1,1,0
1669,3,0,2,1,1,0,1,1,1,0
1671,3,1,2,1,1,0,1,1,1,0
1672,3,1,1,1,1,0,1,1,1,0
