,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,age,sex,size,coat,fixed,house_trained,special_needs,shots_current,env_children,env_dogs,env_cats
57030,Boxer,Weimaraner,True,False,Black,White / Cream,Baby,Male,Medium,Short,True,False,False,True,True,True,True
57031,Boxer,Weimaraner,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,False,False,True,True,True,True
57032,Boxer,Weimaraner,True,False,Black,White / Cream,Baby,Female,Medium,Short,True,False,False,True,True,True,True
57057,Doberman Pinscher,Labrador Retriever,True,False,Black,Yellow / Tan / Blond / Fawn,Baby,Female,Medium,Short,True,False,False,True,True,True,True
57118,Labrador Retriever,Shepherd,True,False,Black,White / Cream,Baby,Female,Medium,Short,False,False,False,True,True,True,True
57119,Labrador Retriever,Shepherd,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,False,False,True,True,True,True
57120,Labrador Retriever,Shepherd,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,False,False,True,True,True,True
57121,Labrador Retriever,Shepherd,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,False,False,True,True,True,True
57135,Border Collie,Australian Shepherd,True,False,Bicolor,"Tricolor (Brown, Black, & White)",Baby,Female,Medium,Medium,True,False,False,True,True,True,False
57342,Black and Tan Coonhound,Mixed Breed,True,False,Black,Yellow / Tan / Blond / Fawn,Young,Female,Large,Short,True,True,False,True,False,True,False
57369,German Shepherd Dog,Australian Cattle Dog / Blue Heeler,True,False,Black,Red / Chestnut / Orange,Adult,Male,Medium,Short,True,True,False,True,False,False,False
57489,Golden Retriever,Poodle,True,False,Brown / Chocolate,Merle (Red),Baby,Male,Large,Medium,True,False,False,True,True,True,True
57573,Labrador Retriever,Boxer,True,False,Black,White / Cream,Baby,Male,Medium,Short,False,False,False,True,True,True,True
57583,Mountain Cur,Terrier,True,False,Brown / Chocolate,White / Cream,Young,Female,Medium,Short,True,True,False,True,True,True,True
57604,Husky,German Shepherd Dog,True,False,Black,White / Cream,Young,Male,Large,Medium,True,False,False,True,True,True,True
57705,Labrador Retriever,Border Collie,True,False,Black,White / Cream,Baby,Male,Large,Short,True,False,False,True,True,True,True
57726,Labrador Retriever,Hound,True,False,Black,"Tricolor (Brown, Black, & White)",Baby,Male,Medium,Short,True,True,False,True,True,True,True
57776,Husky,Boxer,True,False,Red / Chestnut / Orange,Red / Chestnut / Orange,Adult,Male,Large,Medium,True,False,False,True,True,True,True
57957,Foxhound,Labrador Retriever,True,False,Black,Red / Chestnut / Orange,Baby,Male,Medium,Short,False,False,False,True,True,True,True
58037,Boxer,Vizsla,True,False,Black,White / Cream,Adult,Female,Medium,Short,True,True,False,True,True,False,False
58049,Labrador Retriever,Shepherd,True,False,"Tricolor (Brown, Black, & White)",Yellow / Tan / Blond / Fawn,Adult,Female,Large,Medium,True,True,False,True,True,True,False
58115,Pointer,Dalmatian,True,False,White / Cream,Black,Adult,Male,Large,Short,True,True,False,True,True,False,False
58131,Beagle,Hound,True,False,Brown / Chocolate,White / Cream,Adult,Female,Medium,Short,True,True,False,False,True,True,False
58157,Labrador Retriever,Pit Bull Terrier,True,False,Black,White / Cream,Adult,Female,Medium,Short,True,False,False,True,False,False,False
58168,Black Labrador Retriever,Shar-Pei,True,False,Black,White / Cream,Adult,Female,Medium,Short,True,False,False,True,True,True,True
58169,Border Collie,Black Labrador Retriever,True,False,Black,White / Cream,Adult,Male,Medium,Medium,True,False,False,True,True,True,False
58170,Labrador Retriever,Pit Bull Terrier,True,False,Black,Yellow / Tan / Blond / Fawn,Adult,Male,Medium,Short,True,False,False,True,True,True,False
58173,Labrador Retriever,Hound,True,False,Brown / Chocolate,White / Cream,Adult,Female,Medium,Short,True,False,False,True,False,False,False
